Number,Title,Overview,Genres
2970,Renegades,midst balkan war squad navy seal attempt unravel long forget mystery discover enormous treasure trove hide bottom lake serbia,Thriller
2971,The Open House,teenager mother find besiege threaten force move new house,Thriller
2972,Police Story 2,hong kong super cop must stop group blackmail bombers time villains first police story revenge,Action
2973,Caligula,perversion behind imperial rome epic story rome mad emporer detail cruel bizarre reign reveal right unholy sexual passion sister marriage rome infamous prostitute fiendishly inventive mean dispose would oppose,Drama
2974,Assassination Nation,high school senior lily group friends live haze texts post selfies chat like rest world anonymous hacker start post detail private live everyone small town result absolute madness leave lily friends question whether live night,Thriller
2975,Lights Out,rebecca leave home think leave childhood fear behind grow never really sure real light go nd little brother martin experience unexplained terrify events test sanity threaten safety frighten entity mysterious attachment mother sophie reemerged,Thriller
2976,The Scorpion King 3: Battle for Redemption,since triumphant rise power original blockbuster scorpion king mathayus kingdom fall lose queen plague assassin hire must defend kingdom evil tyrant ghost warriors chance regain power glory know star ron perlman hellboy billy zane titanic feature time wwe champion dave bautista ufc star kimbo slice scorpion king battle redemption take mummy phenomenon new level epic action non stop adventure,Action
2977,Taxi 2,cabdriver cop race paris rescue love interest japanese minister defense kidnappers,Action
2978,In the Fade,katja life collapse senseless act impact time mourn injustice seek revenge,Drama
2979, and decides to use his free time spying on his neighbors. Things start to get weird when guests enter the Turner's house and don't come back out. Kale and his friends,"takao train become shoemaker skip school sketch shoe japanese style garden meet mysterious woman yukino older without arrange time two start see rainy days deepen relationship open end rainy season soon approach garden word ,thriller,kale year old place house arrest punch teacher confine house",Animation
2981,Jimmy Neutron: Boy Genius,jimmy neutron boy genius way ahead friends come cool little behind one day parent parent earth kidnap alien lead children world rescue parent,Action
2982,The Guns of Navarone,team ally saboteurs assign impossible mission infiltrate impregnable nazi hold island destroy two enormous long range field gun prevent rescue trap british soldier,Action
2983,Sniper: Ultimate Kill,colombian drug kingpin morales secretly pay service sniper nickname devil capable kill one one enemies anyone hire adversaries leave alive morales grow stronger gain control smuggle rout unite state dea alarm threat country send agent kate estrada follow morales years marine sniper brandon beckett colombia mission kill devil bring morales back us try crimes agents think everything control morales devil prepare plenty surprise keep mission succeed,Action
2984,Shoot 'Em Up,man name mr smith deliver woman baby shootout call upon protect newborn army gunmen,Action
2985,DOA: Dead or Alive,four beautiful rival invitation martial arts tournament join force sinister threat princess kasumi aristocratic warrior train martial arts master tina armstrong wrestle superstar helena douglas athlete tragic past christie allen earn keep thief assassin hire,Adventure
2986,Piglet's Big Movie,gang hundred acre wood begin honey harvest young piglet exclude tell small help feel inferior piglet disappear pal eeyore rabbit tigger roo winnie pooh must use piglet scrapbook map find process discover small animal big hero lot ways,Animation
2987,The Shadow,base comic strip put hero arch enemy shiwan khan plan take world hold city ransom use atom bomb use power invisibility power cloud men mind shadow come blaze city rescue explosive result,Adventure
2988,American Pie Presents: The Book of Love,ten years first american pie movie three new hapless virgins discover bible hide school library east great fall high unfortunately book ruin incomplete advice bible lead hilarious journey lose virginity,Comedy
2989,You Get Me,argue girlfriend ali tyler land arm sexy new girl holly next morning find ali agree take back holly new student school dead set new man,Thriller
